# Aliases present in mathlib v4.32.0 and ABSENT in v4.33.1 — deleted outright, NOT @[deprecated].
# Each produces a bare `Unknown identifier` with nothing to grep for.
# Generated by diffing `alias X := Y` declarations across the two tags; `replacement` is
# what the alias pointed at in v4.32.0, so it is the mechanical substitution.
# uses_in_reservoir = occurrences across the ~700-package Reservoir mirror. Those packages
# are pinned at many different mathlib versions, so a count is 'will break on bumping', not
# 'is broken today'.
removed_alias	replacement	uses_in_reservoir
add_lt_add	add_lt_add_of_lt_of_lt	459
natDegree_eq_card_roots	Splits.natDegree_eq_card_roots	59
isMultiplyPretransitive	alternatingGroup.isMultiplyPretransitive	54
mul_le_mul_left'	mul_le_mul_right	44
mul_le_mul_right'	mul_le_mul_left	41
isFinitelyPresentable	CommRingCat.isFinitelyPresentable_under	37
isTrivialBlock_of_isBlock	alternatingGroup.isTrivialBlock_of_isBlock	27
lex_lt_iff	Lex.lt_iff	27
filter_card_add_filter_neg_card_eq_card	card_filter_add_card_filter_not	26
roots_map	Splits.map_roots	17
algebraMap_mk	Ideal.algebraMap_quotient_residueField_mk	14
degree_def	degree_apply	14
left_mem_Ici	self_mem_Ici	12
coeFn_sum	coe_sum	10
image_rootSet	Splits.image_rootSet	10
adjoin_rootSet_eq_range	Splits.adjoin_rootSet_eq_range	8
_root_.LinearMapClass.ker_eq_bot	ker_eq_bot	7
hasFDerivAt_fourierIntegral	hasFDerivAt_fourier	7
contDiff_fourierIntegral	contDiff_fourier	6
iSup_pow	iSup_pow_natCast	6
_root_.one_add_rpow_hasFPowerSeriesOnBall_zero	one_add_rpow_hasFPowerSeriesOnBall_zero	5
isSelfAdjoint_iff_map_star	IntrinsicStar.isSelfAdjoint_iff_map_star	5
iteratedFDeriv_fourierIntegral	iteratedFDeriv_fourier	5
lex_le_iff_of_unique	Lex.le_iff_of_unique	5
right_mem_Iic	self_mem_Iic	5
splits_iff	splits_iff_splits	5
_root_.one_add_cpow_hasFPowerSeriesOnBall_zero	one_add_cpow_hasFPowerSeriesOnBall_zero	4
_root_.one_add_rpow_hasFPowerSeriesAt_zero	one_add_rpow_hasFPowerSeriesAt_zero	4
fourierIntegral_fderiv	fourier_fderiv	4
isPretransitive_of_three_le_card	alternatingGroup.isPretransitive_of_three_le_card	4
pow_mul_norm_iteratedFDeriv_fourierIntegral_le	pow_mul_norm_iteratedFDeriv_fourier_le	4
